;date;snippet
15;January 25, 2025;O aplicativo é bem lento e pesado e a parte de suporte técnico é uma farsa, ele é programado pra parecer que está analisando problemas de rede e nunca dá um diagnóstico, só fala que ocorreu um erro inesperado, isso quando não está oportunamente em manutenção quando cai a internet (o que tem sido muito recorrente no meu bairro). Infelizmente temos poucas opções de provedor de internet, senão eu já tinha cancelado a vivo a muito tempo.
16;March 05, 2025;Não é ruim, mas podia mostrar as informações do plano em uma tela só (consumo de internet, bônus, assinaturas etc.) Com relação a fatura, tinha que ter uma forma de visualizar o boleto com o detalhamento pelo app. Acho que as informações ficam dispersas, tem que entrar em vários menus até achar o que quer, não tem uma forma de encontrar tudo de uma vez ou por categoria. Outra coisa que senti falta foi acesso a suporte, ouvidoria, atendimentos, só tem um chat com robô pra responder.
17;February 20, 2025;"Aplicativo não funciona quase nada, tudo em que você clica dá erro, ""tente mais tarde "", quero trocar meu plano de controle para pré e não tem essa opção, os pacotes adicionais são caros e não duram nada, fiz o cancelamento do plano pela atendente e fiquei quase 20 minutos em ligação e não mudou nada, tenho saldo mas não tenho Internet, não vou gastá-lo comprando pacotes caros que não duram nem meia hora. E ainda enfiam um monte de coisa nos planos que não usamos só pra gastar saldo."
18;January 16, 2025;Deveria ter a opção de ZERO estrelas! O aplicativo está impossível de usar. Só tem propaganda de crédito, consórcio, produtos, aplicativos! Onque eu mais preciso foi retirado! Não tem mais como ver o uso de internet no mês, não tem como consultar os planos disponíveis para alteração, não tem como acessar a fatura do meu plano. Mas todas as opções comerciais estão lá, poluindo o aplicativo, inviabilizando o controle de uso do plano!
19;February 27, 2025;Péssimo! Antigamente poderíamos exibir na tela todos os saldos com um simples comando no discador, hoje não é mais possível, dizem que é tudo por esse app mas nada nele funciona como deveria. O saldo só mostra quanto têm de internet restante quando quer, sempre dá erro... Para trocar de plano também é só pelo app, porém ocultaram os planos pré e só exibem os planos controle por terem o valor mais elevado...
20;February 11, 2025;O aplicativo é ruim, e a operadora muito pior, pois preciso agendar uma visita técnica e não tem a opção, só faz análise e diz que será solucionado😡 E para piorar faz meses que fico sem internet e para solucionar tem que ficar horas no telefone e ligar inúmeras vezes. Só me resta trocar de operadora! Não tem a opção de agendar visita técnica,, já fiz o que me sugeriu e nem no chat não tem atendimento humano. Já contatei anatel, se não resolver só me resta o procon.
21;March 03, 2025;Horrível, vc assina um plano, eles não liberam seus benefícios do seu plano, o aplicativo todas as vezes dá erro! Péssimo, odeio! Já estou a mais de um mês tentando ativar a minha assinatura da Amazon prime e nunca dá certo, já liguei pra vocês já enviei e-mail e nunca tem ninguém para resolver meu problema.
22;March 05, 2025;A cada dia me arrependo mais de contrado pois todos os dias é um problema diferente é o App com problema o meu quase nunca funciona , é a telefonia, é a Internet que cai toda hora e o plano que quando não vende uma coisa que não existe, tem cobranças irregularidade e ainda você o controle que não pode ligar para qualquer lugar pois se não tem colocar crédito, não sei nem como ainda a anatel permite a comercialização.
23;April 17, 2025;"Não gostei, estão forçando uma barra pra usar o aplicativo, detesto, sempre vi tudo pelo computador, é opção minha, parece que o pessoal responsável pelo sistema está com preguiça de trabalhar, cada vez menos conteúdo no site no navegador do computador, aí me ""obriga"" usar esse aplicativo, que agora ainda sou obrigado a ficar atualizando, nunca tive problema com site da Vivo, agora eu afirmo que está cada vez pior e já penso em trocar."
24;January 10, 2025;A operadora mais cara com o pior serviço, não aparece meu plano completo no app, não consigo abrir chamado para meu pacote de tv no app, pq ele não existe lá. Muito fraca para o preço cobrado! Vai quebrar... A verdadeel é que já foi a melhor cobertura, já não é mais, e o público da vivo são os mais velhos, os mais novos não vão aderir se não melhorarem os serviços, e voltar a ter cobertura satisfatória!
25;December 10, 2024;Pq vcs ficam pedindo permissão para gerenciar minhas chamadas (sendo q vc já tem o histórico delas) e os meus contatos? É para entrar em contato com pessoas da minha lista para oferecer produtos? Isso parece uma prática predatória. E pq o app nunca funciona direito? Estou tentando puxar as faturas para pagar e não consigo. Já desinstalei e instalei dnv e nada funciona. Ter q ir a loja para fazer isso em pleno 2024 é ridículo.
26;September 12, 2024;"A VIVO é uma péssima escolha para operadora, não recomendo pra ninguém. Tô trabalhando de Uber e a vivo não tem atendido minhas necessidades: O sinal de internet é instável e várias vezes cai, a cobertura de área é ruim, é extremamente difícil falar com um atendente e isso só causa mais estresse, os preços dos planos são ABSURDOS e toda vez que ligo pra reclamar da net eles falam que já usei 100% dos dados e como ""única solução” eles me ofertam um plano mais caro. Não estão nem aí pro cliente!!!"
27;September 06, 2024;Aplicativo horrível, não funciona nada, suporte técnico não funciona de jeito nenhum quando precisa. Aura é uma desinteligência artificial que não tem funcionalidade nenhuma. Só experiência ruim na utilização desse app, assim como a Vivo no modo geral ,pq já estou à quase 20 horas sem conexão na minha casa e cada hora é um prazo pra solucionar.
28;November 08, 2024;Ok... Voltando a reavaliar, não exatamente ao app que continua bugado e eu bloqueado, mas sim ao atendimento, entrei em contato por e-mail... Que por si só já é uma plataforma demorada pra receber mensagem etc e incrível que meu atendimento foi rápido. Resolveram certinho como pedi, ao atendimento nada a reclamar, ao app infelizmente esse problema permanece, (estar bloqueado, sem acesso a nada no app).
29;May 22, 2025;"Suporte Técnico não funciona. O resultado é sempre: ""Ops, algo deu errado."" Aí, tem que voltar ao telefone. Não é dada informação se o problema é da região e já pede pra marcar visita. No app, como o suporte não funciona, não é possível agendar a visita pelo app, pois não há opção. Não funciona. Navegação ruim."
30;March 17, 2025;App incompatível com a descrição e informações do representante. Não funciona corretamente, informa que está disponível em todos os dispositivos, o que é um equívoco, não reconhece os dados e nem o plano do cliente corretamente e dá erros constantemente. Informam que no site tem tudo que precisamos, porém, vários serviços e funcionalidades não estão acessíveis, que somente pelo app. E no app não funciona também, muitíssima insatisfação.
31;May 28, 2025;O não solicitado Vivo Crédito Antecipado vem em forma de mensagem de serviço na tela, de modo que o serviço é contratado mesmo com a recarga realizada em dia. Não tem como desativar, é uma grande falta de respeito ao consumidor. Além de você gastar com a recarga normal, ainda entra essa recarga por crédito antecipado, prejudicando seu saldo e fazendo o consumidor perder tempo em reclamar com o atendimento. O crédito antecipado é debitado do saldo, não possibilitando a renovação da promoção.
32;May 25, 2025;"Postei uma avaliação em 19/03/2024 dizendo que o app era horrível. Hoje, 25/05/2025, continua igual. Esconde informações importantes em submenus e exibe muita propaganda. Sempre abre na aba ""Pra você"", em vez de ""Assinaturas"", e mesmo lá é difícil achar os dados do plano. Você precisa clicar em vários botões para encontrar algo simples como “Mais detalhes da assinatura”. Tente fazer isso com menos de 3 cliques. Quando a info existe, claro. A Vivo não é ruim, o app sim!"
33;May 22, 2025;"me deram um ""crédito antecipado consumo saldo"" sem autorização e quando tento cancelar por SMS, diz que não está ativo, ou seja, estão descontando por um serviço que nunca foi pedido, não dão a opção de cancelar, por causa disso tenho menos internet (que necessito para poder me locomover) e fico incomunicável. Péssimo serviço viu"
34;May 27, 2025;A função Suporte Técnico não funciona . Ontem completou um mês que estamos sem Internet. Recebemos cinco visitas de técnicos da Vivo que constataram que o defeito é na caixa de distribuição da rua que precisaria ser substituída mas até agora nada. O APP não registra nada disso e os próprios técnicos confirmam. Alguns deles nos informaram seus telefones porque o APP é inútil. Mesmo após várias visitas, inúmeros protocolos inclusive na Anatel nada disso apareceu no APP. Até agora sem solução.
35;May 30, 2025;Impressionado com a qualidade da Vivo. A experiência é positiva desde o momento que fui à loja comprar um chip e fechar um plano até a usabilidade do aplicativo. Fácil, intuitivo, interface linda. Tudo que precisamos está lá. O sinal é excelente aqui onde moro e na região de Campinas como um todo. Percebe-se que a operadora é exatamente aquilo que diz ser nas propagandas. Amando!
36;May 26, 2025;não funciona para nada além de promoções. A área de suporte técnico não ajuda em nada e não mostra status de visita técnica como fala no email que recebi. E além disso, é a terceira vez que tenho que acionar um técnico em menos de 2 meses. Não passem por essa dor de cabeça. pesquisem antes
37;May 22, 2025;como não consegui resolver por telefone e vocês praticamente obrigam a cliente a usar esse aplicativo fui tentar novamente apesar de inúmeras tentativas fracassadas no passado. Não consegui nem acessar porque após colocar o CPF as dificuldades já começaram. Pedem pra completar cadastro, aí diz que meu email já está sendo usado (óbvio, afinal já tenho cadastro) e só pede pra cadastrar novo email (pra que?). Desisto, pior umas 40 vezes desde que tentei usar esse aplicativo alguns anos.
38;May 23, 2025;Tem que arrumar esse aplicativo. Colocar a opção de ATIVAR a recarga, a gente faz a recarga, entra no aplicativo, mas não tem a opção de ativar a recarga. Aparece o saldo da recarga mas precisa ter essa opção. Tive que ligar pra um atendente pra poder ativar minha internet, porque pelo aplicativo não tem a opção.
39;May 27, 2025;o app era ótimo, conseguia editar senha e ver quem está conectado a minha rede, mas com a atualização de hoje tiraram essa função e passaram essas funções para o smart wifi, que simplesmente não funciona, pois agora não consigo desbloquear dispositivos quando quero, sendo assim, irei cancelar minha assinatura vivo
40;May 25, 2025;Adoro usar o app da Vivo, apesar das instabilidade da Internet de vez enquanto. Gostaria de deixar uma sugestão, consigo fazer quase tudo pelo app, gostaria de fazer transferência de crédito tbm pelo app, até pq o 7000, na maioria das vezes não funciona, e se esse serviço pudesse ser feito pelo app tbm seria maravilhoso. #fica a dica
41;May 23, 2025;Infelizmente, o aplicativo não entrega o que promete. As funcionalidades simplesmente não funcionam e a experiência geral é frustrante. Promete facilidade e desempenho, mas só entrega dor de cabeça. Precisa de muitas melhorias para ser minimamente útil.
42;May 24, 2025;Olá fiz o plano completo de internet e tv.nao consigo abrir o app da erro fui até a loja e não conseguimos mudar nem lá ..nem pelo suporte..o e mail que estava incorreto.obs: fiz o plano na própria loja ..não consigo acessar nada ! faço todo o processo de reconhecimento facial no final da erro..pago até Net Flix e não consegui em 6 mêses acessar!
43;May 30, 2025;"faltam algumas funções... na realidade, ele parece ""user friendly"" mas as funções não são óbvias . um caso recente: estou tentando fazer um upgrade na assinatura, que acabou gerando uma visita técnica à revelia. não consegui cancelar, nem adiar, essa visita, porque não havia nada no app que me encaminhasse para isso. Até aparece o botão para visitas técnicas, mas nada havia para mostrar. Tive que ligar para o 10315...."
44;June 02, 2025;O app vivo é incrível, atende todas as minhas expectativas, tem a facilidade de trocar de plano a qualquer momento, possui a opção de incluir outras assinaturas, ex: Spotify e Netflix e assim por diante, tirando que tem a possibilidade de comprar eletrônicos no próprio app, amo!
45;May 18, 2025;PÉSSIMO! App fica horas atualizando, com várias funções indisponíveis! Isso vem acontecendo há anos ....Todos os aplicativos passam por atualização, mas suas funções continuam sempre ativas! Contratem pessoal melhor qualificado, isso acaba sujando a imagem de uma empresa tão grande como a vivo.
46;May 30, 2025;Hoje 28/05 /2025,um dia terrível onde não consigo entrar no app. Não consigo fazer nada, minha internet terminando, e sem acesso não consigo renovar meu plano. E agora? sem solução...vi depoimento aqui dizendo app maravilhoso. Não entendo porque o meu não funciona..Hoje 30/05/2025. consegui entrar no app, mas o a cópia do código Pix pra recarga, dá erro sempre.. Já tentei várias vezes. pow
47;May 29, 2025;As páginas demoram muito para carregar, além de existirem funções que estão incompatíveis com as instruções dadas pelo próprio app. Quero cancelar minha promoção, mas não basta seguir as recomendações, estou passando por uma boa perda de tempo. Fiz essa reclamação em 2020, e agora em 2025 edito. O app continua ruim da mesma maneira!
48;May 30, 2025;"out/2022: ""aconteceu um erro"" em todos os cliques UPDATE: o robô respondeu meu comentário e me orientou a checar a conexão ou instalar novamente o app - surpresa: não adiantou. maio/2025: estou tentando consultar minha fatura, a central de ajuda e os serviços contratados. adivinhem: ""aconteceu um erro"". 2025, cara. o mínimo é oferecer um app que funcione OU no mínimo deixar o cliente acessar todas as funcionalidades via navegador"
49;May 25, 2025;Mais a gente quer mais ver é assistência no app da vivo e não tanta propaganda de vivo controle e coisas pra comprar, quando a gente quiser a gente procura especificamente dentro do app. É chato toda ver que entrar no app pra ver nossa recarga ou saldo ou promoção ou plano e só ver de primeira anúncios pra gente comprar ou assinar planos é chato isso
50;May 23, 2025;Até o momento não consegui abrir o aplicativo, recebo a senha de 6 dígitos, quando pula para próxima etapa sempre aparece um erro falando tente mais tarde. Muito ruim isso pro cliente. Boa tarde, realizei os procedimentos de pedido, porém o erro permanece, ainda não consegui utilizar o aplicativo.
51;June 01, 2025;"Não consigo acessar, faz meses que estou tentando entrar e só aparece "" tente mais tarde "". e também não dá para pagar o pacote sem entrar no aplicativo, poderiam fazer manutenção para estabilizar o app! Adianta de nada a operadora boa e o aplicativo horrível."
52;May 30, 2025;aplicativo mal feito, cheio de problemas e erro, muitas opções que poderia ser simples mas o aplicativo complica, além do preço maior que outras operadoras e entregando um resultado menor, problemas de conectar a conta e fazendo entrar em loops de login, a PIOR OPERADORA, não usem
53;June 01, 2025;Depois da última atualização tá péssimo. Não consigo entrar de jeito nenhum. Quando tento entrar na área de cliente ( já sou cliente) digito o número e e depois digito o código enviado para mim ( no tempo certo) via SMS, mas dá erro sempre e nada se resolve. Já liguei para vivo me deram um email eu mandei msg e até hoje ninguém respondeu! Pô, resolvam isso por favor. Não consigo acompanhar o gasto dos meus dados nem nada.
54;May 31, 2025;Aplicativo está dando muito erro eu não consigo falar com um atendente..fiz um plano pré-pago demorei pagar a fatura... paguei a fatura depois e pedir para cancelar o plano que contratei e nãoo o chip,fui na loja presencial e disseram que meu chip foi cancelado,sendo que consta ativo, meu chip esta bloqueado não consigo fazer ligações ou receber absolutamente nada!😤 e agora já tenho outra fatura para pagar sendo que eu nem usei a droga do plano! meu chip tá aque sem eu poder usar para nadaa!
55;May 26, 2025;Aplicativo consumindo 2GB de Wi-fi em segundo plano! Estão roubando dados das pessoas? Primeira vez que vejo um app usar 2GB do wi-fi em 3 dias, ou seja, uns 600MB por dia em segundo plano? Achei suspeito. Nem as redes sociais que recebem notificação entre outras coisas o tempo todo, usa tudo isso em segundo plano. E não é só comigo, questionei conhecidos e eles ao entrarem no consumo do wi-fi notaram a mesma coisa. app Vivo usando dados do wi-fi em segundo plano de forma abusiva.
56;May 25, 2025;é ridículo a pessoa ter 11 reais de crédito e não poder comprar um pacote adicional de Internet, pois só tem pacote de Internet apartir de 15 reais pra quem é plano controle, algo abusivo contra o cliente, para pessoas que vão fazer algum tipo de plano com a VIVO pensem bem antes de fazer pois a vivo é horrível.
57;May 06, 2025;Péssimo.Tudo da erro. Nunca vi um aplicativo tão ruim como esse. Isso que o da Oi não é lá essas coisas. Vc muda de plano, e não consegue consultar os tais benefícios ofertados, não consegue fazer absolutamente nada é só propaganda, não consegue nem alterar a forma de pagamento. Então vc liga para a operadora e a mensagem automática diz que tudo pode ser feito pelo aplicativo. Que piada ! Em pleno 2025 as operadoras não conseguem nem disponibilizar um app decente para seus clientes.
58;June 02, 2025;Estou pagando as faturas antes do vencimento, mas no App elas aparecem como atrasadas. Não está atualizando com o pagamento. Já liguei para a Vivo e no sistema constam os pagamentos, mas no App não atualiza.
59;May 29, 2025;"Após a atualização perdeu o login. Fiz o processo de colocar o e-mail, recebi o código via e-mail, preenchi corretamente, pediu senha, coloquei. App iniciou com ""olá, estamos preparando seu app"" depois da um erro! Pqp!!!"
60;May 11, 2025;Olá equipe vivo tudo bem? Então a verificação de senha via SMS, é uma coisa muito complicada pra quem mora em Regiões onde não pega sinal de telefonia móvel. Poderia ter a opção receber o código via WHATSAPP já que tem muitas regiões e localidades onde só pega sinal de Wi-fi, já que é maior brucacia reivindicar uma torre de transmissão dados móveis. O aplicativo é bom salutar mais tem esse contratempo já que as verificações de segurança não facilitam pra quem mora em Regiões remotas do país.
61;May 23, 2025;paguei minhas contas tem mais de 48 horas e nada de atualizar/de conseguir fazer ligação e receber SMS, o aplicativo todo bugado tento abrir as opções mas só dá erro diz que tão reformulando o aplicativo e os números de atendimento não ajudam em nada!
62;April 13, 2025;Uso a mais de 3 anos, e quando vamos utilizar um benefício de assinatura como os 6 meses do Prime Vídeo que precisa da facial, ele da erro de leitura! Já faz quase 2 meses que não consigo acessar esse benefício, e quando contato a central, dizem que o sistema não está disponível! Vou cancelar. Perderam um fiel cliente!
63;May 26, 2025;Gostaria de saber o porquê do nada vocês mudaram os GBs do meu plano contratado?! olhei anteontem e estava com 20GB no meu plano,tinha usado uns 5GB/6GB e aí entro no app hoje e está mostrando 10GB porquê??? impressionante a pessoa contrata o plano mensal de tal giga e do nada diminui? Pago R$35 reais para poder utilizar os gigas certos e não menos do que contratei,e o pior é a insistência de vocês no app de ficar oferecendo planos que não queremos,caso contrário a gente mesmo já teria contratad
64;April 15, 2025;A vivo já foi uma boa operadora, hoje com muitas outras opções ela tá caindo muito , a internet fibra não é boa , e a assistência técnica deles , são os piores ! eles só tem terceirizado, e eles não atendem depois das 17 horas , aí quem trabalha , e sai de madrugada de casa, e só chega depois das 17 horas fica sem assistência né! E assim não vale a pena ter essa operadora, pagar por algo que não está utilizando, deveriam ter quem prestasse assistência a noite também .
65;March 26, 2025;Para ficar *PÉSSIMO* tem que melhorar muito , mais muito mesmo. Todos os meses entro no app para efetuar o pagamento via pix , por achar mais cômodo e rápido, pois todos os meses o app trava , ou simplesmente não carrega as informações, por fim acabo esquecendo e por consequência pago até multa por atraso, sendo que a deficiência está na qualidade da entrega das informações.
66;May 23, 2025;quase todas as vezes em eu precisei não me serviu eu tento e tento e tento e sou informado que o aplicativo tá em manutenção é realmente péssimo. é o pior aplicativo não melhora nunca, só não é pior do que a Internet só anda em manutenção dizendo que é pra melhorar só que nunca melhora é ao contrário só piora a cada dia.
67;April 04, 2025;Experiência péssima com esse aplicativo, deixa muito a desejar, mal carrega suas opções, não existem todas as opções que um usuário precisaria, não é nem um pouco efetivo. Removeram o atendimento por telefone com um ou uma consultora para imporem esse aplicativo horroroso, mal programado e gerenciador. Se tivesse a opção de 0 estrelas, ganharia.
68;May 27, 2025;O app é dinâmico, muito fácil e rápido de ser usado. Seu design é bem inteligente. Não consegui acessar a proteção oferecida pelo app Vivo, tanto o anti-vírus como o anti-spam para bloquear ligações indesejadas. Entre 0 e 10, dou nota 8.
69;May 20, 2025;horrível. o aplicativo não funciona, eles roubam seus créditos dizendo que foram gastos com serviços que você não solicitou para tentar empurrar outros planos, você não consegue acessar as informações a menos que seja para gastar. tive Claro durante muito tempo e me arrependo amargamente em ter mudado. É o pior serviço entre todos.
70;March 18, 2025;"Me senti na obrigação de fazer uma avaliação, pois estou muito chateado com essa operadora. Olhando apenas do ponto de vista do aplicativo, apesar de muito estético e chamativo, sua funcionalidade em si é péssima. Toda vez que tento consultar alguma informação no aplicativo, além da lentidão, sempre aparece ""algo deu errado por aqui"". Convenientemente parece que sempre acontece com mais frequência, quando está perto do vencimento de alguma das faturas, voltando ao normal apenas quando ja venceu."
71;May 20, 2025;Coisas simples, como atualizar dados cadastrais, está impossível fazer nesse aplicativo. A qualidade desse aplicativo despenca ladeira abaixo. Não houve nenhuma mudança positiva, pelo contrário, só piora. O APP deveria oferecer comodidade e celeridade ao cliente, porém não contribui em nada. Ultra arrependida em adquirir um produto dessa operadora.
72;June 01, 2025;Não consigo entrar no aplicativo Meu Vivo, desde quando foi concluído meu processo de portabilidade. Pois não estou recebendo o token por SMS. Meu Pai está enfrentando o mesmo problema. Nossa portabilidade foi concluída no mesmo dia. Entrei em contato com a central duas vezes e ninguém resolve nada. Muito triste!!!
73;April 02, 2025;Não funciona direito. Eu tenho dois números no app mas não consigo acessar o primeiro deles de jeito nenhum. Quando vou no menu com meus números e seleciono o segundo, a troca é feita, mas quando abro o menu o primeiro número sempre está selecionado e nunca consigo voltar pra ele. Além do que, quando o App abre, ele abre com o segundo número selecionado. Eu nunca consigo efetuar a troca do número para o primeiro da lista, então nunca consigo usar o app operacionalmente de fato.
74;March 29, 2025;Se vc precisar = FICA SEM ATENDIMENTO! Estou tentando cancelar um nr e não tem como pelo APP e quando vc liga a ligação cai e eles fingem que retornam dado um toque rapido e sorrateiro 2xs seguidas que são impossíveis de atender! Para vender é ótimo, agora para cancelar serviços ESQUECE! Será obrigado a manter! PENSE MUITO ANTES DE CONTRATAR!!!!!!
75;May 27, 2025;No momento, nem experiência eu estou tendo. Já faz meses que não consigo abrir o aplicativo. Ele não abre, sempre está dando erro e antes que falem que o problema é o meu telefone. A minha esposa também está com o mesmo problema e o telefone dela é mais novo que o meu. Estou seriamente pensando em mudar de operadora. Devido ao problema que dura meses e não e resolvido.
76;May 20, 2025;Meu Aparelho é um REDMI NOTE 13, uso a internet da Vivo. As Informações Pessoais no Aplicativo Vivo, não funcionam, a aba Benefício não abre os sub menus, alguns benefícios não abrem. Consumo não está funcionando. Já limpei os arquivos em Cache, já desinstalei e instalei novamente o aplicativo e continua na mesma. Precisa ser revisado e melhorado!
77;April 08, 2025;Essa última atualização melhorou um pouco a fluidez do aplicativo e agora funciona bem pelo meu wi-fi (que pago a parte, diga-se de passagem), mas ainda continua muito poluído...arquivos pesados e propagandas em momentos e paginas inoportunos. Pouco prático para trocar de uma conta para outra, quando se gerencia outros números.
78;May 24, 2025;Ótimo aplicativo, acho muito bonito e tem funções úteis quando a gente precisa. Na minha região a Vivo é a melhor operadora, muito estável no geral. Quando preciso ligar na central, sempre sou bem atendido. Sou muito satisfeito, então eu indico a Vivo pra quem procura estabilidade.
79;May 13, 2025;Estou logado no app, ou pelo menos penso já que informações do meu contrato aparecem, vou em trocar assinatura pq vejo q estou pagando por um produto q não estou recebendo (no caso assinatura Amazon) e nessa aba pedem minhas informações de contato, como assim? Deveria estar logado, é como se o app fosse uma página genérica que não sabe com quem está falando. É uma crítica pontual. O excesso de info desnecessaria q o app apresenta é uma critica geral, só uso o app efetivamente para ver fatura.
80;May 21, 2025;Nunca vi um aplicativo que não posso acessar. E toda vez que tento entrar sai automaticamente do aplicativo e vai para uma página da internet. Eu tinha login e senha certinho. Agora nada funciona. por que vocês tentam tanto melhorar e só pioram as coisas. Gente mantenha o simples bem feito. Se eu não acessar em 24 horas vou cancelar o plano que acabei de fazer.
81;May 10, 2025;Que coisa inconveniente,a operadora enche minha caixa de mensagens me oferecendo um plano. Quando entro no app e escolho um plano,depois de ter colocado todos meus dados e na hora de concluir aparece uma mensagem que o plano escolhido não está disponível aí me oferecem um plano ridículo completamente inferior ao que escolhi. Acredito que eles usam umplano atrativo para convencer o cliente para empurrar um plano ridículo,isso é muito anti-ético.
82;April 05, 2025;O aplicativo está horrível. Muito lento e travando, não era assim, agora, não consigo nem pagar uma fatura sem perder um tempo considerável. Melhorem a interface do aplicativo para facilitar a vida dos clientes, principalmente às faturas, precisamos de agilidade para achar e pagar contas na Vivo.
